player,matches,runs,balls,fours,sixes,runs_per_match,strike_rate,boundary_runs,boundary_percentage
LA Pomersbach,16,302,243,25,13,18.88,124.28,178,58.94
UBT Chand,20,300,299,32,9,15.0,100.33,182,60.67
Ramandeep Singh,26,299,203,17,19,11.5,147.29,182,60.87
DJG Sammy,20,295,241,15,18,14.75,122.41,168,56.95
Kartik Sharma,11,295,216,24,16,26.82,136.57,192,65.08
SP Goswami,21,293,293,32,3,13.95,100.0,146,49.83
A Manohar,20,292,235,23,14,14.6,124.26,176,60.27
Y Nagar,20,285,259,20,9,14.25,110.04,134,47.02
GH Vihari,23,284,319,23,1,12.35,89.03,98,34.51
VVS Laxman,20,282,266,33,5,14.1,106.02,162,57.45
HV Patel,44,280,238,18,15,6.36,117.65,162,57.86
B Chipli,21,280,250,28,7,13.33,112.0,154,55.0
PK Garg,19,273,238,16,9,14.37,114.71,118,43.22
R Sathish,24,270,230,22,6,11.25,117.39,124,45.93
K Rabada,34,262,238,21,11,7.71,110.08,150,57.25
M Kaif,22,259,249,22,6,11.77,104.02,124,47.88
Harpreet Brar,27,249,206,20,10,9.22,120.87,140,56.22
MD Mishra,17,237,206,24,8,13.94,115.05,144,60.76
K Goel,16,218,231,17,9,13.62,94.37,122,55.96
AA Jhunjhunwala,15,217,209,19,5,14.47,103.83,106,48.85
Kuldeep Yadav,41,210,253,18,3,5.12,83.0,90,42.86
UT Yadav,48,208,201,16,9,4.33,103.48,118,56.73
SK Warne,27,198,213,14,6,7.33,92.96,92,46.46
